clave,anio,titulo,fecha_aprobacion,observaciones,estatus,pdfs
CD-LXVI-I-1P-001,I,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos, en materia de reforma del Poder Judicial.",03-Sep-2024,Aprobado por el Senado el 10-Sep-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 13-Sep-2024. Declaratoria de la Cámara de Diputados el 13-Sep-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 15-Sep-2024.,publicada_dof,66/CD-LXVI-I-1P-001/01_minuta_001_03sep24.pdf;66/CD-LXVI-I-1P-001/02_dictamen_001_03sep24.pdf;66/CD-LXVI-I-1P-001/03_dof_001_15sep24.pdf
CD-LXVI-I-1P-002,I,"PROYECTO de Decreto por el que se reforma, adiciona y deroga el artículo 2o. de la Constitución Política de los Estados Unidos Mexicanos, en materia de pueblos y comunidades indígenas y afromexicanos .",18-Sep-2024,Aprobado por el Senado el 24-Sep-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 29-Sep-2024. Declaratoria de la Cámara de Diputados el 29-Sep-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 30-Sep-2024.,publicada_dof,66/CD-LXVI-I-1P-002/01_minuta_002_18sep24.pdf;66/CD-LXVI-I-1P-002/02_dictamen_002_18sep24.pdf;66/CD-LXVI-I-1P-002/03_dof_002_30sep24.pdf
CD-LXVI-I-1P-003,I,"PROYECTO de Decreto por el que se reforman y adicionan los artículos 13, 16, 21, 32, 55, 73, 76, 78, 82, 89, 123 y 129 de la Constitución Política de los Estados Unidos Mexicanos, en materia de guardia nacional.",19-Sep-2024,Aprobado por el Senado el 24-Sep-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 29-Sep-2024. Declaratoria de la Cámara de Diputados el 29-Sep-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 30-Sep-2024.,publicada_dof,66/CD-LXVI-I-1P-003/01_minuta_003_19sep24.pdf;66/CD-LXVI-I-1P-003/02_dictamen_003_19sep24.pdf;66/CD-LXVI-I-1P-003/01_modifica_003_19abr24.pdf;66/CD-LXVI-I-1P-003/03_dof_003_30sep24.pdf
CD-LXVI-I-1P-004,I,"PROYECTO de Decreto por el que se reforma el primer párrafo de la fracción VI del Apartado A y se adiciona un tercer párrafo a la fracción IV del Apartado B del artículo 123 de la Constitución Política de los Estados Unidos Mexicanos, en materia de salarios .",24-Sep-2024,Aprobado por el Senado el 09-Oct-2024. Pasa a las Legislaturas de los Estados. Declaratoria pendiente en la Cámara de Senadores.,en_revisora,66/CD-LXVI-I-1P-004/01_minuta_004_24sep24.pdf;66/CD-LXVI-I-1P-004/02_dictamen_004_24sep24.pdf
CD-LXVI-I-1P-005,I,"PROYECTO de Decreto por el que se adiciona un segundo párrafo al artículo 123 de la Constitución Política de los Estados Unidos Mexicanos, en materia de apoyo a jóvenes.",25-Sep-2024,Aprobado por el Senado el 11-Mar-2025. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 19-Mar-2025. Declaratoria de la Cámara de Diputados el 19-Mar-2025. Pasa al Ejecutivo Federal. Publicado en el DOF el 01-Abr-2025.,publicada_dof,66/CD-LXVI-I-1P-005/01_minuta_005_25sep24.pdf;66/CD-LXVI-I-1P-005/02_dictamen_005_25sep24.pdf;66/CD-LXVI-I-1P-005/03_dof_005_01abr25.pdf
CD-LXVI-I-1P-006,I,PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley Federal del Trabajo .,02-Oct-2024,Aprobado por el Senado el 04-Dic-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 19-Dic-2024.,publicada_dof,66/CD-LXVI-I-1P-006/01_minuta_006_02oct24.pdf;66/CD-LXVI-I-1P-006/02_iniciativa_006_02oct24.pdf;66/CD-LXVI-I-1P-006/03_dof_19dic24.pdf
CD-LXVI-I-1P-007,I,"PROYECTO de Decreto por el que se reforma el párrafo cuarto y se adiciona un párrafo quinto al artículo 28 de la Constitución Política de los Estados Unidos Mexicanos, en materia de vías y transporte ferroviario.",08-Oct-2024,Aprobado por el Senado el 16-Oct-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 24-Oct-2024. Declaratoria de la Cámara de Diputados el 29-Oct-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 30-Oct-2024.,publicada_dof,66/CD-LXVI-I-1P-007/01_minuta_007_08oct24.pdf;66/CD-LXVI-I-1P-007/02_dictamen_007_08oct24.pdf;66/CD-LXVI-I-1P-007/03_dof_30oct24.pdf
CD-LXVI-I-1P-008,I,"PROYECTO de Decreto por el que se reforman el párrafo quinto del artículo 25, los párrafos sexto y séptimo del artículo 27 y el párrafo cuarto del artículo 28 de la Constitución Política de los Estados Unidos Mexicanos, en materia de áreas y empresas estratégicas .",09-Oct-2024,Aprobado por el Senado el 16-Oct-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 24-Oct-2024. Declaratoria de la Cámara de Diputados el 29-Oct-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 31-Oct-2024.,publicada_dof,66/CD-LXVI-I-1P-008/01_minuta_008_09oct24.pdf;66/CD-LXVI-I-1P-008/02_dictamen_008_09oct24.pdf;66/CD-LXVI-I-1P-008/01_modifica_008_09oct24.pdf;66/CD-LXVI-I-1P-008/03_dof_31oct24.pdf
CD-LXVI-I-1P-009,I,"PROYECTO de Decreto por el que se reforman y adicionan los artículos 4o. y 27 de la Constitución Política de los Estados Unidos Mexicanos, en materia de bienestar.",22-Oct-2024,Aprobado por el Senado el 30-Oct-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 06-Nov-2024. Declaratoria de la Cámara de Diputados el 26-Nov-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 02-Dic-2024.,publicada_dof,66/CD-LXVI-I-1P-009/01_minuta_009_22oct24.pdf;66/CD-LXVI-I-1P-009/02_dictamen_009_22oct24.pdf;66/CD-LXVI-I-1P-009/01_modifica_009_22oct24.pdf;66/CD-LXVI-I-1P-009/03_dof_02dic24.pdf
CD-LXVI-I-1P-010,I,"PROYECTO de Decreto por el que se reforma y adiciona la fracción XII del Apartado A del artículo 123 de la Constitución Política de los Estados Unidos Mexicanos, en materia de vivienda para las personas trabajadoras .",23-Oct-2024,Aprobado por el Senado el 31-Oct-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 06-Nov-2024. Declaratoria de la Cámara de Diputados el 26-Nov-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 02-Dic-2024.,publicada_dof,66/CD-LXVI-I-1P-010/01_minuta_010_23oct24.pdf;66/CD-LXVI-I-1P-010/02_dictamen_010_23oct24.pdf;66/CD-LXVI-I-1P-010/03_dof_02dic24.pdf
