clave,denominacion,estatus,anio,ods_principal,ods_secundarios,metas,tema,confianza,origen_tipo,grupos_parlamentarios,expediente_ref,nivel_revision,fuente_codificacion
CD-LXVI-I-1P-001,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos, en materia de reforma del Poder Judicial.",publicada_dof,I,16,,16.3;16.6,Reforma al Poder Judicial (elección 2028),alta,ejecutivo,,EJE-2024-2030-75-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.93)
CD-LXVI-I-1P-002,"PROYECTO de Decreto por el que se reforma, adiciona y deroga el artículo 2o. de la Constitución Política de los Estados Unidos Mexicanos, en materia de pueblos y comunidades indígenas y afromexicanos .",publicada_dof,I,16,,16.1;16.6,Seguridad pública (art. 21 constitucional),alta,ejecutivo,,EJE-2024-2030-8-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.78)
CD-LXVI-I-1P-003,"PROYECTO de Decreto por el que se reforman y adicionan los artículos 13, 16, 21, 32, 55, 73, 76, 78, 82, 89, 123 y 129 de la Constitución Política de los Estados Unidos Mexicanos, en materia de guardia nacional.",publicada_dof,I,16,,16.1;16.6,Seguridad pública (art. 21 constitucional),alta,ejecutivo,,EJE-2024-2030-8-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.87)
CD-LXVI-I-1P-004,"PROYECTO de Decreto por el que se reforma el primer párrafo de la fracción VI del Apartado A y se adiciona un tercer párrafo a la fracción IV del Apartado B del artículo 123 de la Constitución Política de los Estados Unidos Mexicanos, en materia de salarios .",en_revisora,I,16,,16.1;16.3,Extorsión (constitucional),media,ejecutivo,,EJE-2024-2030-42-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.68)
CD-LXVI-I-1P-005,"PROYECTO de Decreto por el que se adiciona un segundo párrafo al artículo 123 de la Constitución Política de los Estados Unidos Mexicanos, en materia de apoyo a jóvenes.",publicada_dof,I,16,,16.1;16.6,Seguridad pública (art. 21 constitucional),alta,ejecutivo,,EJE-2024-2030-8-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.79)
CD-LXVI-I-1P-006,PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley Federal del Trabajo .,publicada_dof,I,17,,17.1,Ley Federal de Derechos 2025,alta,ejecutivo,,EJE-2024-2030-11-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.82)
CD-LXVI-I-1P-007,"PROYECTO de Decreto por el que se reforma el párrafo cuarto y se adiciona un párrafo quinto al artículo 28 de la Constitución Política de los Estados Unidos Mexicanos, en materia de vías y transporte ferroviario.",publicada_dof,I,16,,16.6,Soberanía nacional (arts. 19 y 40),alta,ejecutivo,,EJE-2024-2030-28-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.76)
CD-LXVI-I-1P-008,"PROYECTO de Decreto por el que se reforman el párrafo quinto del artículo 25, los párrafos sexto y séptimo del artículo 27 y el párrafo cuarto del artículo 28 de la Constitución Política de los Estados Unidos Mexicanos, en materia de áreas y empresas estratégicas .",publicada_dof,I,16,9,16.6;9.c,Simplificación administrativa y digitalización,media,ejecutivo,,EJE-2024-2030-27-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.71)
CD-LXVI-I-1P-009,"PROYECTO de Decreto por el que se reforman y adicionan los artículos 4o. y 27 de la Constitución Política de los Estados Unidos Mexicanos, en materia de bienestar.",publicada_dof,I,16,,16.1;16.6,Seguridad pública (art. 21 constitucional),alta,ejecutivo,,EJE-2024-2030-8-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.87)
CD-LXVI-I-1P-010,"PROYECTO de Decreto por el que se reforma y adiciona la fracción XII del Apartado A del artículo 123 de la Constitución Política de los Estados Unidos Mexicanos, en materia de vivienda para las personas trabajadoras .",publicada_dof,I,16,,16.1;16.3,Extorsión (constitucional),alta,ejecutivo,,EJE-2024-2030-42-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.75)
CD-LXVI-I-1P-011,"PROYECTO de Decreto por el que se reforman y adicionan los artículos 3o., 4o. y 73 de la Constitución Política de los Estados Unidos Mexicanos, en materia de protección y cuidado animal.",publicada_dof,I,16,,16.1;16.6,Seguridad pública (art. 21 constitucional),alta,ejecutivo,,EJE-2024-2030-8-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.83)
CD-LXVI-I-1P-012,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley Orgánica de la Administración Pública Federal .",publicada_dof,I,16,,16.6,Reorganización de la Administración Pública Federal,alta,ejecutivo,,EJE-2024-2030-7-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.97)
CD-LXVI-I-1P-013,"PROYECTO de Decreto por el que se reforma el párrafo segundo del artículo 19 de la Constitución Política de los Estados Unidós Mexicanos, en materia de prisión preventiva oficiosa.",publicada_dof,I,16,,16.1;16.6,Seguridad pública (art. 21 constitucional),alta,ejecutivo,,EJE-2024-2030-8-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.78)
CD-LXVI-I-1P-014,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos, en materia de simplificación orgánica .",publicada_dof,I,16,,16.6;16.7,Reforma electoral (constitucional),alta,ejecutivo,,EJE-2024-2030-1-desechadas,automatico_preliminar,herencia(score=0.90)
CD-LXVI-I-1P-015,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley Federal de Derechos.",publicada_dof,I,17,,17.1,Ley Federal de Derechos 2025,alta,ejecutivo,,EJE-2024-2030-11-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.96)
CD-LXVI-I-1P-016,PROYECTO de Ley de Ingresos de la Federación para el Ejercicio Fiscal de 2025.,publicada_dof,I,17,,17.1,Presupuesto de Egresos 2025,alta,ejecutivo,,EJE-2024-2030-10-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.88)
CD-LXVI-I-1P-017,"PROYECTO de Decreto por el que se adicionan un párrafo quinto al artículo 4o. y un párrafo segundo al artículo 5o., de la Constitución Política de los Estados Unidos Mexicanos, en materia de protección a la salud.",publicada_dof,I,16,,16.6,Soberanía nacional (arts. 19 y 40),media,ejecutivo,,EJE-2024-2030-28-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.70)
CD-LXVI-I-1P-018,PROYECTO de Decreto por el que se reforma el artículo 39 de la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos.,en_revisora,I,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-I-1P-019,"PROYECTO de Decreto por el que se adicionan diversas disposiciones de la Ley Federal del Trabajo, en materia de plataformas digitales.",publicada_dof,I,8,,8.5;8.8,Reducción de jornada laboral (LFT),media,ejecutivo,,EJE-2024-2030-63-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.73)
CD-LXVI-I-2P-020,"PROYECTO de Decreto por el que se declara al ""2025, Año de la Mujer Indígena"".",publicada_dof,I,5,10,5.1;10.2,"2025, Año de la Mujer Indígena",media,ejecutivo,,EJE-2024-2030-20-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.66)
CD-LXVI-I-2P-021,PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley de Ascensos y Recompensas del Ejército y Fuerza Aérea Mexicanos.,publicada_dof,I,16,,16.6,Ascensos y recompensas del Ejército,alta,ejecutivo,,EJE-2024-2030-18-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.93)
CD-LXVI-I-2P-022,"PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 4o. y 27 de la Constitución Política de los Estados Unidos Mexicanos, en materia de conservación y protección de los maíces nativos.",publicada_dof,I,2,15,2.5,Protección de maíces nativos,alta,ejecutivo,,EJE-2024-2030-21-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.88)
CD-LXVI-I-2P-023,PROYECTO de Decreto por el que se adiciona un segundo párrafo a la fracción XVII del artículo 68 de la Ley General de Movilidad y Seguridad Vial.,en_revisora,I,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-I-2P-024,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley de Ingresos sobre Hidrocarburos.",publicada_dof,I,3,17,3.4;3.a;17.1,IEPS: impuestos saludables,media,ejecutivo,,EJE-2024-2030-46-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.78)
CD-LXVI-I-2P-025,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley de Obras Públicas y Servicios Relacionados con las Mismas.",publicada_dof,I,9,16,9.1;16.6,Obras públicas,alta,ejecutivo,,EJE-2024-2030-31-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.97)
CD-LXVI-I-2P-026,"PROYECTO de Decreto por el que se expide la Ley de Adquisiciones, Arrendamientos y Servicios del Sector Público y, se reforman, adicionan y derogan diversas disposiciones de la Ley Federal de Austeridad Republicana; de la Ley de la Economía Social y Solidaria y de la Ley General de Sociedades Cooperativas.",publicada_dof,I,16,12,16.6;12.7,Adquisiciones públicas y economía social,alta,ejecutivo,,EJE-2024-2030-30-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.99)
CD-LXVI-I-2P-027,PROYECTO de Decreto por el que se expide el Reglamento de la Comisión Permanente del Congreso General de los Estados Unidos Mexicanos.,devuelta,I,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-I-2P-028,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley Federal de Armas de Fuego y Explosivos.",publicada_dof,I,17,,17.1,Ley Federal de Derechos 2025,alta,ejecutivo,,EJE-2024-2030-11-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.83)
CD-LXVI-I-2P-029,PROYECTO de Decreto por el que se expide la Ley Nacional para Eliminar Trámites Burocráticos.,publicada_dof,I,16,,16.6,Eliminación de trámites burocráticos,alta,ejecutivo,,EJE-2024-2030-34-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.97)
CD-LXVI-I-2P-030,"PROYECTO de Decreto por el que se reforma el artículo 18 de la Ley sobre el Escudo, la Bandera y el Himno Nacionales, en materia de reconocimiento a las mujeres que han transformado nuestra patria.",publicada_dof,I,5,,5.1,Reconocimiento a las mujeres (símbolos patrios),alta,ejecutivo,,EJE-2024-2030-36-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.99)
CD-LXVI-I-2P-031,PROYECTO Decreto por el que se reforman y adicionan diversas disposiciones de la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos.,publicada_dof,I,16,,16.6,Ascensos de la Armada,media,ejecutivo,,EJE-2024-2030-57-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.74)
CD-LXVI-I-2P-032,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley Reglamentaria del Servicio Ferroviario; de la Ley Orgánica de la Administración Pública Federal; de la Ley de Caminos, Puentes y Autotransporte Federal; de la Ley de Vías Generales de Comunicación, y de la Ley General de Bienes Nacionales, en materia ferroviaria y de armonización normativa.",publicada_dof,I,9,11,9.1;11.2,Sistema ferroviario,alta,ejecutivo,,EJE-2024-2030-37-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.90)
CD-LXVI-I-2P-033,PROYECTO Decreto por el que se reforman y adicionan diversas disposiciones de la Ley Federal del Trabajo.,en_revisora,I,17,,17.1,Ley Federal de Derechos 2025,alta,ejecutivo,,EJE-2024-2030-11-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.82)
CD-LXVI-I-2P-034,PROYECTO de Decreto por el que se adicionan las fracciones X Bis y X Ter al artículo 58 de la Ley General de Turismo.,en_revisora,I,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-I-1E-035,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley General de Desarrollo Social, de la Ley Federal de Presupuesto y Responsabilidad Hacendaria y de la Ley General de Contabilidad Gubernamental.",publicada_dof,I,1,10,1.3;10.4,Desarrollo social y programas de bienestar,alta,ejecutivo,,EJE-2024-2030-39-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.96)
CD-LXVI-I-1E-036,"PROYECTO de Decreto por el que se reforma el artículo 191 de la Ley del Seguro Social, en materia de seguro por desempleo.",en_revisora,I,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-I-1E-037,"PROYECTO Decreto por el que se expide la Ley de la Guardia Nacional y se reforman, adicionan y derogan diversas disposiciones de la Ley Orgánica de la Administración Pública Federal; de la Ley Orgánica del Ejército y Fuerza Aérea Mexicanos; de la Ley de Educación Militar del Ejército y Fuerza Aérea Mexicanos; de la Ley de Ascensos y Recompensas del Ejército y Fuerza Aérea Mexicanos; de la Ley del Instituto de Seguridad Social para las Fuerzas Armadas Mexicanas; de la Ley de Disciplina del Ejército y Fuerza Aérea Mexicanos; del Código de Justicia Militar y del Código Militar de Procedimientos Penales.",publicada_dof,I,16,,16.1;16.a,Ley de la Guardia Nacional,alta,ejecutivo,,EJE-2024-2030-40-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.88)
CD-LXVI-I-1E-038,PROYECTO de Decreto por el que se expide la Ley General del Sistema Nacional de Seguridad Pública.,publicada_dof,I,16,,16.1;16.a,Sistema Nacional de Seguridad Pública,alta,ejecutivo,,EJE-2024-2030-26-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.98)
CD-LXVI-I-1E-039,PROYECTO de Decreto por el que se expide la Ley del Sistema Nacional de Investigación e Inteligencia en Materia de Seguridad Pública.,publicada_dof,I,16,,16.1;16.a,Sistema de investigación e inteligencia,alta,ejecutivo,,EJE-2024-2030-25-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.98)
CD-LXVI-II-1P-040,"PROYECTO de Decreto por el que se reforma el inciso a) de la fracción XXI del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos, en materia de extorsión.",publicada_dof,II,16,,16.1;16.3,Extorsión (constitucional),alta,ejecutivo,,EJE-2024-2030-42-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.99)
CD-LXVI-II-1P-041,"PROYECTO de Decreto por el que se adicionan las fracciones VIII y IX al artículo 76 BIS de la Ley Federal de Protección al Consumidor, en materia de cancelación de suscripciones y membresías con cobro recurrente.",publicada_dof,II,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-II-1P-042,"PROYECTO de Decreto por el que se reforman y adicionan los artículos 215, 216 Ter y 419 de la Ley General de Salud.",en_revisora,II,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-II-1P-043,"PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley de la Economía Social y Solidaria, en materia de igualdad sustantiva, no discriminación y derechos de los pueblos y comunidades indígenas y afromexicanas.",en_revisora,II,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-II-1P-044,PROYECTO de Decreto por el que se adicionan diversas disposiciones de la Ley de Fiscalización y Rendición de Cuentas de la Federación.,en_revisora,II,17,16,17.1;16.5,Código Fiscal de la Federación,media,ejecutivo,,EJE-2024-2030-47-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.67)
CD-LXVI-II-1P-045,PROYECTO de Decreto por el que se adiciona un inciso m a la fracción III del artículo 24 de la Ley General de Pesca y Acuacultura Sustentables.,en_revisora,II,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-II-1P-046,"PROYECTO de Decreto por el que se declara el 10 de noviembre de cada año, como el ""Día Nacional de la Mariposa Monarca"".",en_revisora,II,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-II-1P-047,PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley General de Bienes Nacionales y de la Ley General del Equilibrio Ecológico y la Protección al Ambiente.,en_revisora,II,16,,16.3,Procedimientos penales y seguridad,media,ejecutivo,,EJE-2024-2030-4-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.64)
CD-LXVI-II-1P-048,PROYECTO de Decreto por el que se reforma el artículo 21 de la Ley del Servicio Exterior Mexicano.,en_revisora,II,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-II-1P-049,PROYECTO de Decreto por el que se reforman los artículos 111 y 111 BIS de la Ley General del Equilibrio Ecológico y la Protección al Ambiente.,en_revisora,II,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-II-1P-050,"PROYECTO de Decreto por el que se declara el 22 de febrero de cada año, como el ""Día Nacional de la y el Periodista Deportivo"".",en_revisora,II,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-II-1P-051,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley Aduanera.",publicada_dof,II,16,17,16.5,Reforma aduanera,alta,ejecutivo,,EJE-2024-2030-49-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.96)
CD-LXVI-II-1P-052,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley Federal de Derechos.",publicada_dof,II,17,,17.1,Ley Federal de Derechos 2025,alta,ejecutivo,,EJE-2024-2030-11-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.96)
CD-LXVI-II-1P-053,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones del Código Fiscal de la Federación.",publicada_dof,II,17,16,17.1;16.5,Código Fiscal de la Federación,media,ejecutivo,,EJE-2024-2030-47-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.97)
CD-LXVI-II-1P-054,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley del Impuesto Especial sobre Producción y Servicios.",publicada_dof,II,3,17,3.4;3.a;17.1,IEPS: impuestos saludables,media,ejecutivo,,EJE-2024-2030-46-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.97)
CD-LXVI-II-1P-055,PROYECTO de Decreto por el que se expide la Ley de Ingresos de la Federación para el Ejercicio Fiscal de 2026.,publicada_dof,II,17,,17.1,Ley de Ingresos 2025,alta,ejecutivo,,EJE-2024-2030-9-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.96)
CD-LXVI-II-1P-056,PROYECTO de Decreto por el que se expide la Ley Orgánica de la Armada de México.,publicada_dof,II,16,,16.6,Ley Orgánica de la Armada,alta,ejecutivo,,EJE-2024-2030-53-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.97)
CD-LXVI-II-1P-057,"PROYECTO de Decreto por el que se expide la Ley General para Prevenir, Investigar y Sancionar los Delitos en Materia de Extorsión, Reglamentaria de la fracción XXI del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos, y se reforman, adicionan y derogan diversas disposiciones del Código Penal Federal, del Código Nacional de Procedimientos Penales, de la Ley Federal contra la Delincuencia Organizada, de la Ley Nacional de Extinción de Dominio y, de la Ley Orgánica del Poder Judicial de la Federación.",publicada_dof,II,16,,16.1;16.3;16.4,Ley General contra la Extorsión,alta,ejecutivo,,EJE-2024-2030-55-aprobadas-y-o-publicadas-en-dof,automatico_preliminar,herencia(score=0.99)
CD-LXVI-II-1P-058,"PROYECTO de Decreto por el que se declara el 11 de diciembre de cada año, como el ""Día Nacional de la Talavera"".",en_revisora,II,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-II-1P-059,"PROYECTO de Decreto por el que se declara el 4 de noviembre de cada año, como el ""Día Nacional de las Mujeres Afromexicanas"".",en_revisora,II,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-II-1P-060,PROYECTO de Decreto por el que se adicionan diversas disposiciones a la Ley General del Equilibrio Ecológico y la Protección al Ambiente.,en_revisora,II,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-II-1P-061,"PROYECTO de Decreto por el que se reforman los artículos 72 y 73 de la Ley General de Salud, en materia de fortalecimiento de los servicios de atención a la salud mental.",en_revisora,II,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
CD-LXVI-II-1P-062,PROYECTO de Decreto por el que se reforma el artículo 15 de la Ley de Desarrollo Rural Sustentable.,en_revisora,II,,,,,baja,,,,automatico_preliminar,mock(sin_llm)
