"provision_id","norm_id","norm_title","norm_type","hierarchy_level","jurisdiction","article","provision_text","topic","actor_mentioned","power_granted","duty_created","procedure_created","coordination_mechanism","enforcement_or_sanction","rights_safeguard","budget_or_resource_implication","relevance_to_ihr","relevance_to_pandemic_agreement","source_url","version_date"
"MEX_PROV_CPEUM_ART001_001","MEX-004","Constitución Política de los Estados Unidos Mexicanos","constitution","1_constitution","federal","Art. 1o.","En los Estados Unidos Mexicanos todas las personas gozarán de los derechos humanos reconocidos en esta Constitución y en los tratados internacionales de los que el Estado Mexicano sea parte, así como de las garantías para su protección, cuyo ejercicio no podrá restringirse ni suspenderse, salvo en los casos y bajo las condiciones que esta Constitución establece. Las normas relativas a los derechos humanos se interpretarán de conformidad con esta Constitución y con los tratados internacionales de la materia favoreciendo en todo tiempo a las personas la protección más amplia. Todas las autoridades, en el ámbito de sus competencias, tienen la obligación de promover, respetar, proteger y garantizar los derechos humanos de conformidad con los principios de universalidad, interdependencia, indivisibilidad y progresividad. Queda prohibida toda discriminación motivada por origen étnico o nacional, el género, la edad, las discapacidades, la condición social, las condiciones de salud, la religión, las opiniones, las preferencias sexuales, el estado civil o cualquier otra que atente contra la dignidad humana. [Extraction note: article excerpt; full text includes slavery prohibition and other paragraphs; manual review required for bloque de constitucionalidad implications]","constitutional rights; human rights safeguards; legal hierarchy; treaties","no explicit actor","None identified","Duty of all authorities to promote, respect, protect and guarantee human rights; State duty to prevent, investigate, sanction and repair human rights violations; prohibition of discrimination including on grounds of health conditions","None identified","None identified","None identified","Pro persona principle; non-discrimination (including on health grounds); universality, interdependence, indivisibility and progressivity of human rights; protection of rights recognized in international treaties; prohibition of suspension of rights beyond constitutional limits","None identified","Direct — constitutional foundation for human rights constraints on IHR-authorized measures (isolation, restriction of movement, data collection); pro persona principle applies to all IHR measures affecting persons","Direct — human rights foundation applicable to all pandemic response measures; non-discrimination and pro persona principles constrain implementation","https://www.diputados.gob.mx/LeyesBiblio/pdf/CPEUM.pdf","2026-04-23"
"MEX_PROV_CPEUM_ART004_001","MEX-004","Constitución Política de los Estados Unidos Mexicanos","constitution","1_constitution","federal","Art. 4o., párrafo 4 (derecho a la protección de la salud)","Toda Persona tiene derecho a la protección de la salud. La Ley definirá las bases y modalidades para el acceso a los servicios de salud y establecerá la concurrencia de la Federación y las entidades federativas en materia de salubridad general, conforme a lo que dispone la fracción XVI del artículo 73 de esta Constitución. La Ley definirá un sistema de salud para el bienestar, con el fin de garantizar la extensión progresiva, cuantitativa y cualitativa de los servicios de salud para la atención integral y gratuita de las personas que no cuenten con seguridad social. (Párrafo adicionado DOF 03-02-1983, reformado DOF 08-05-2020)","right to health; constitutional rights; federalism; coordination","Ejecutivo Federal; entidades federativas","None identified (duty-creating, not power-granting)","State duty to guarantee the right to health; Law must define bases and modalities for access to health services; Law must establish federal-state concurrence in salubridad general","None identified","Mandates statutory concurrence framework between Federación and entidades federativas in salubridad general (developed by LGS)","None identified","Constitutional right to health for all persons; progressive guarantee of health services for persons without social security","Implicit — constitutional mandate requires budgetary allocation; final paragraph of Art. 4o. (2024 reform) requires sufficient annual resources for rights with direct transfers","Direct — apex constitutional anchor for all health governance; basis for federal health emergency powers; IHR implementation depends on this right and salubridad general competence","Direct — constitutional right to health is primary normative basis for pandemic preparedness and response obligations","https://www.diputados.gob.mx/LeyesBiblio/pdf/CPEUM.pdf","2026-04-23"
"MEX_PROV_CPEUM_ART011_001","MEX-004","Constitución Política de los Estados Unidos Mexicanos","constitution","1_constitution","federal","Art. 11, párrafo 1","Toda persona tiene derecho para entrar en la República, salir de ella, viajar por su territorio y mudar de residencia, sin necesidad de carta de seguridad, pasaporte, salvoconducto u otros requisitos semejantes. El ejercicio de este derecho estará subordinado a las facultades de la autoridad judicial, en los casos de responsabilidad criminal o civil, y a las de la autoridad administrativa, por lo que toca a las limitaciones que impongan las leyes sobre emigración, inmigración y salubridad general de la República, o sobre extranjeros perniciosos residentes en el país.","constitutional rights; travellers; points of entry; health security measures; rights safeguards","autoridades sanitarias","Administrative authority power to restrict freedom of movement under laws on salubridad general, emigration, immigration","None identified","None identified","None identified","Restriction of freedom of movement authorized under health laws","Constitutional right to free movement; restrictions only by law (emigration, immigration, salubridad general); judicial and administrative limits must have statutory basis","None identified","Direct — constitutional basis and limit for IHR-authorized health measures at points of entry affecting travellers (Art. 11 IHR: health measures must respect dignity, human rights and fundamental freedoms)","Direct — freedom of movement right relevant to travel-related health measures in pandemic contexts; any restriction must comply with this constitutional provision","https://www.diputados.gob.mx/LeyesBiblio/pdf/CPEUM.pdf","2026-04-23"
"MEX_PROV_CPEUM_ART014_001","MEX-004","Constitución Política de los Estados Unidos Mexicanos","constitution","1_constitution","federal","Art. 14, párrafos 1-2","A ninguna ley se dará efecto retroactivo en perjuicio de persona alguna. Nadie podrá ser privado de la libertad o de sus propiedades, posesiones o derechos, sino mediante juicio seguido ante los tribunales previamente establecidos, en el que se cumplan las formalidades esenciales del procedimiento y conforme a las Leyes expedidas con anterioridad al hecho.","constitutional rights; judicial control; human rights safeguards; administrative procedure","no explicit actor","None identified","None identified","None identified","None identified","None identified","Non-retroactivity of law; due process (garantías del procedimiento); deprivation of liberty only through judicial procedure; legality requirement","None identified","Indirect — due process constraints apply to health security measures involving deprivation of liberty (isolation, quarantine); IHR Art. 32 requires respect for dignity and fundamental rights","Indirect — due process framework constrains coercive pandemic measures","https://www.diputados.gob.mx/LeyesBiblio/pdf/CPEUM.pdf","2026-04-23"
"MEX_PROV_CPEUM_ART016_001","MEX-004","Constitución Política de los Estados Unidos Mexicanos","constitution","1_constitution","federal","Art. 16, párrafos 1-2","Nadie puede ser molestado en su persona, familia, domicilio, papeles o posesiones, sino en virtud de mandamiento escrito de la autoridad competente, que funde y motive la causa legal del procedimiento. Toda persona tiene derecho a la protección de sus datos personales, al acceso, rectificación y cancelación de los mismos, así como a manifestar su oposición, en los términos que fije la ley, la cual establecerá los supuestos de excepción a los principios que rijan el tratamiento de datos, por razones de seguridad nacional, disposiciones de orden público, seguridad y salud públicas o para proteger los derechos de terceros. (Párrafo adicionado DOF 01-06-2009)","constitutional rights; data protection; human rights safeguards; administrative procedure; health security measures","no explicit actor","None identified","None identified","None identified","None identified","None identified","Personal inviolability (fundamento y motivo requirement for any interference); right to personal data protection (access, rectification, cancellation, opposition); exceptions for public health permitted only by law","None identified","Direct — data protection right constrains health surveillance data collection and sharing under IHR; exceptions for public health permissible only by law","Direct — constitutional basis for data protection applicable to genomic data, surveillance data and pathogen sample information under pandemic agreement","https://www.diputados.gob.mx/LeyesBiblio/pdf/CPEUM.pdf","2026-04-23"
"MEX_PROV_CPEUM_ART029_001","MEX-004","Constitución Política de los Estados Unidos Mexicanos","constitution","1_constitution","federal","Art. 29","En los casos de invasión, perturbación grave de la paz pública, o de cualquier otro que ponga a la sociedad en grave peligro o conflicto, solamente el Presidente de los Estados Unidos Mexicanos, con la aprobación del Congreso de la Unión o de la Comisión Permanente cuando aquel no estuviere reunido, podrá restringir o suspender en todo el país o en lugar determinado el ejercicio de los derechos y las garantías que fuesen obstáculo para hacer frente, rápida y fácilmente a la situación; pero deberá hacerlo por un tiempo limitado, por medio de prevenciones generales y sin que la restricción o suspensión se contraiga a determinada persona. [...] En los decretos que se expidan, no podrá restringirse ni suspenderse el ejercicio de los derechos a la no discriminación, al reconocimiento de la personalidad jurídica, a la vida, a la integridad personal, a la protección a la familia, al nombre, a la nacionalidad; los derechos de la niñez; los derechos políticos; las libertades de pensamiento, conciencia y de profesar creencia religiosa alguna; el principio de legalidad y retroactividad; la prohibición de la pena de muerte; la prohibición de la esclavitud y la servidumbre; la prohibición de la desaparición forzada y la tortura; ni las garantías judiciales indispensables para la protección de tales derechos. [Extraction note: article excerpt; full text includes Congreso role, Congressional review, SCJN review; manual review required]","public health emergency; constitutional rights; parliamentary oversight; judicial control; human rights safeguards","Ejecutivo Federal; Congreso de la Unión","President power to restrict or suspend rights during grave emergency, with congressional approval; limited to specific grounds, time-limited, general, non-personal","Duty of proportionality and legality; duty to convene Congress immediately if in recess; SCJN reviews decrees ex officio","Congressional approval required; SCJN automatic review; time limit; public proclamation","Ejecutivo-Congreso coordination for emergency powers activation and review","Congressional revocation; SCJN review of constitutionality","Non-derogable rights list (life, personal integrity, non-discrimination, no torture, no disappearance, judicial guarantees); proportionality and legalidad requirements; no individual targeting; Congreso can revoke","None identified","Direct — constitutional emergency framework most relevant to health emergencies of international concern; IHR Art. 43 emergency health measures must not exceed what is required; Art. 29 provides constraint","Direct — constitutional emergency powers framework applicable during pandemic emergencies; non-derogable rights list constrains response measures","https://www.diputados.gob.mx/LeyesBiblio/pdf/CPEUM.pdf","2026-04-23"
"MEX_PROV_CPEUM_ART073_001","MEX-004","Constitución Política de los Estados Unidos Mexicanos","constitution","1_constitution","federal","Art. 73, fracción XVI y bases 1a–4a","El Congreso tiene facultad: [...] XVI. Para dictar leyes sobre nacionalidad, condición jurídica de los extranjeros, ciudadanía, naturalización, colonización, emigración e inmigración y salubridad general de la República. 1a. El Consejo de Salubridad General dependerá directamente del Presidente de la República, sin intervención de ninguna Secretaría de Estado, y sus disposiciones generales serán obligatorias en el país. 2a. En caso de epidemias de carácter grave o peligro de invasión de enfermedades exóticas en el país, la Secretaría de Salud tendrá obligación de dictar inmediatamente las medidas preventivas indispensables, a reserva de ser después sancionadas por el Presidente de la República. 3a. La autoridad sanitaria será ejecutiva y sus disposiciones serán obedecidas por las autoridades administrativas del País. 4a. Las medidas que el Consejo haya puesto en vigor en la Campaña contra el alcoholismo y la venta de sustancias que envenenan al individuo o degeneran la especie humana, así como las adoptadas para prevenir y combatir la contaminación ambiental, serán después revisadas por el Congreso de la Unión en los casos que le competan.","congressional powers; sanitary authority; health authority; public health emergency; epidemiological surveillance; federalism","Congreso de la Unión; Consejo de Salubridad General; Secretaría de Salud; Ejecutivo Federal","Congressional power to legislate on salubridad general; CSG issues mandatory dispositions; SS must immediately take epidemic/exotic disease prevention measures","SS mandatory duty to immediately issue prevention measures in case of grave epidemic or risk of exotic disease invasion; CSG dispositions obligatory nationwide","SS measures subject to presidential sanction (post-hoc); CSG measures reviewed by Congress; CSG depends directly on President without Secretaría intervention","CSG directly under President; SS-President sanction mechanism; Congressional review of CSG alcohol/environment measures","Sanitary authority is executive; its dispositions must be obeyed by all administrative authorities","None identified","None identified","Direct — primary constitutional competence base for health legislation; Base 2a directly anchors IHR emergency response obligations (epidemic prevention, exotic disease invasion = IHR PHEIC equivalent)","Direct — constitutional foundation for CSG and SS powers central to pandemic response governance; Base 1a and 2a are key institutional anchors","https://www.diputados.gob.mx/LeyesBiblio/pdf/CPEUM.pdf","2026-04-23"
"MEX_PROV_CPEUM_ART076_001","MEX-004","Constitución Política de los Estados Unidos Mexicanos","constitution","1_constitution","federal","Art. 76, fracción I","Son facultades exclusivas del Senado: I. Analizar la política exterior desarrollada por la persona titular del Ejecutivo Federal con base en los informes anuales que las personas titulares de la Presidencia de la República y de la Secretaría del Despacho correspondiente rindan al Congreso. Además, aprobar los tratados internacionales y convenciones diplomáticas que el Ejecutivo Federal suscriba, así como su decisión de terminar, denunciar, suspender, modificar, enmendar, retirar reservas y formular declaraciones interpretativas sobre los mismos.","treaties; congressional powers; parliamentary oversight","Senado; Ejecutivo Federal; SRE","Senate exclusive power to approve international treaties and diplomatic conventions; power to authorize termination, denunciation, suspension, modification, amendment of treaties; power to review foreign policy annually","None identified","Senate approval required for all international treaties including WHO instruments; annual foreign policy review","Ejecutivo-Senado coordination for treaty approval and foreign policy oversight","None identified","None identified","None identified","Direct — Senate approval required for IHR amendments (2024) and any formal treaty obligation; constitutional basis for IHR domestic reception","Direct — Senate must approve WHO Pandemic Agreement; constitutional basis for its domestic legal force under Art. 133","https://www.diputados.gob.mx/LeyesBiblio/pdf/CPEUM.pdf","2026-04-23"
"MEX_PROV_CPEUM_ART089_001","MEX-004","Constitución Política de los Estados Unidos Mexicanos","constitution","1_constitution","federal","Art. 89, fracciones I y X","Las facultades y obligaciones del Presidente, son las siguientes: I. Promulgar y ejecutar las leyes que expida el Congreso de la Unión, proveyendo en la esfera administrativa a su exacta observancia. [...] X. Dirigir la política exterior y celebrar tratados internacionales, así como terminar, denunciar, suspender, modificar, enmendar, retirar reservas y formular declaraciones interpretativas sobre los mismos, sometiéndolos a la aprobación del Senado. En la conducción de tal política, el titular del Poder Ejecutivo observará los siguientes principios normativos: la autodeterminación de los pueblos; la no intervención; la solución pacífica de controversias; la proscripción de la amenaza o el uso de la fuerza en las relaciones internacionales; la igualdad jurídica de los Estados; la cooperación internacional para el desarrollo; el respeto, la protección y promoción de los derechos humanos y la lucha por la paz y la seguridad internacionales.","executive powers; treaties; cooperation international; constitutional rights","Ejecutivo Federal; Senado","Presidential power to promulgate and execute laws (regulatory power base); power to direct foreign policy and conclude treaties (subject to Senate approval); power to issue reglamentos","Duty to observe foreign policy principles including human rights promotion and international cooperation","Treaty submission to Senate for approval","Ejecutivo-Senado for treaty approval","None identified","Foreign policy principles include human rights protection and promotion","None identified","Direct — fraction I is basis for reglamentos developing IHR obligations; fraction X is the power base for treaty conclusion including IHR instruments","Direct — presidential treaty-making power (fraction X) and regulatory power (fraction I) are dual constitutional bases for pandemic agreement obligations","https://www.diputados.gob.mx/LeyesBiblio/pdf/CPEUM.pdf","2026-04-23"
"MEX_PROV_CPEUM_ART090_001","MEX-004","Constitución Política de los Estados Unidos Mexicanos","constitution","1_constitution","federal","Art. 90","La Administración Pública Federal será centralizada y paraestatal conforme a la Ley Orgánica que expida el Congreso, que distribuirá los negocios del orden administrativo de la Federación que estarán a cargo de las Secretarías de Estado y definirá las bases generales de creación de las entidades paraestatales y la intervención del Ejecutivo Federal en su operación.","public administration; health authority; sanitary authority","Ejecutivo Federal; Congreso de la Unión","Congressional power to issue organic law distributing federal administrative business among Secretarías de Estado","None identified","None identified","None identified","None identified","None identified","None identified","Indirect — constitutional basis for LOAPF (organic law), which defines SS and SRE competences relevant to IHR implementation","Indirect — institutional architecture basis for identifying competent authorities for pandemic agreement implementation","https://www.diputados.gob.mx/LeyesBiblio/pdf/CPEUM.pdf","2026-04-23"
